ASA,Forecast,AHT,AWT,Agents,SL,Occupancy
-1.0,0.000277778,600,60,-1.0,-1.0,-0.1666668
183.497,0.000555556,600,60,1.41188,0.800001,0.23609201915176928
203.783,0.000833333,600,60,1.70753,0.799999,0.2928205068139359
197.062,0.001111111,600,60,1.8915,0.800002,0.3524539254559873
114.438,0.001388889,600,60,2.1055,0.8,0.39578883875563997
122.744,0.001666667,600,60,2.44727,0.799999,0.4086186648796413
127.215,0.001944444,600,60,2.6845,0.8,0.43459355559694546
121.418,0.002222222,600,60,2.86423,0.800001,0.46551191768817446
92.7061,0.0025,600,60,3.02643,0.800001,0.49563346913690387
97.5464,0.002777778,600,60,3.34407,0.800001,0.4983947106370381
100.622,0.003055556,600,60,3.58578,0.799999,0.511278884928802
99.7462,0.003333333,600,60,3.77821,0.799999,0.5293511477657409
90.4314,0.003611111,600,60,3.93728,0.799999,0.5502952799902471
83.2639,0.003888889,600,60,4.17282,0.8,0.5591742275008268
86.0579,0.004166667,600,60,4.43335,0.8,0.5639076995951142
87.1796,0.004444444,600,60,4.64563,0.8,0.5740160968480056
85.0475,0.004722222,600,60,4.82317,0.8,0.5874421179431784
76.6853,0.005,600,60,4.97513,0.8,0.6029993186107699
76.2348,0.005277778,600,60,5.23196,0.8,0.6052543979694035
78.0479,0.005555556,600,60,5.46946,0.800001,0.6094447349464116
78.458,0.005833333,600,60,5.66957,0.799999,0.6173307323130325
76.3378,0.006111111,600,60,5.84126,0.799999,0.6277184374604109
69.7055,0.006388889,600,60,5.991,0.799999,0.6398486730095143
70.8793,0.006666667,600,60,6.2491,0.8,0.6400922052775601
